fan: AUC source test=0.4961777777777777, pAUC source test=0.061333333333333344
 	 AUC target test=0.4993888888888889, pAUC target test=0.07011111111111111
pump: AUC source test=0.5064277777777777, pAUC source test=0.04955555555555557
 	 AUC target test=0.48538333333333333, pAUC target test=0.05000000000000001
ToyCar: AUC source test=0.47964444444444443, pAUC source test=0.03805555555555556
 	 AUC target test=0.4800944444444443, pAUC target test=0.05000000000000001
valve: AUC source test=0.5062777777777777, pAUC source test=0.06811111111111111
 	 AUC target test=0.5188333333333335, pAUC target test=0.045555555555555564
gearbox: AUC source test=0.5131838799677614, pAUC source test=0.046897351045147945
 	 AUC target test=0.5367248177273864, pAUC target test=0.06574032305604556
ToyTrain: AUC source test=0.48420555555555544, pAUC source test=0.043333333333333335
 	 AUC target test=0.5135166666666665, pAUC target test=0.05000000000000001
slider: AUC source test=0.5346885143097354, pAUC source test=0.11200219142587395
 	 AUC target test=0.5464282192788815, pAUC target test=0.09137122884473878
